epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.7453,3.19669,5.28046,0.03123,0.00786,0.40018,0.01445,0.00554,2.89745,3.95721,0.05062,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,49.3697,2.2271,4.12437,0.01823,0.0142,0.72261,0.06433,0.01972,2.24597,3.52066,0.03324,0.00350464,0.00116821,0.00350464,0.00116821,0.00350464,0.00116821,0.00350464,0.00116821
3,57.3218,1.92764,3.53637,0.01533,0.13929,0.59099,0.17175,0.06728,1.93602,3.11859,0.03002,0.00523331,0.00174444,0.00523331,0.00174444,0.00523331,0.00174444,0.00523331,0.00174444
4,65.5472,1.76881,3.09636,0.01362,0.32551,0.37809,0.27703,0.11711,1.81759,2.65468,0.03012,0.00582018,0.00194006,0.00582018,0.00194006,0.00582018,0.00194006,0.00582018,0.00194006
5,73.6913,1.69619,2.79159,0.01255,0.3379,0.4355,0.33835,0.15293,1.77902,2.23743,0.02615,0.00576024,0.00192008,0.00576024,0.00192008,0.00576024,0.00192008,0.00576024,0.00192008
6,81.78,1.63159,2.53768,0.0117,0.40585,0.48852,0.40766,0.1897,1.6623,2.03229,0.02439,0.0057003,0.0019001,0.0057003,0.0019001,0.0057003,0.0019001,0.0057003,0.0019001
7,89.9305,1.60692,2.36032,0.01104,0.438,0.50329,0.44563,0.20986,1.64998,1.96324,0.02479,0.00564036,0.00188012,0.00564036,0.00188012,0.00564036,0.00188012,0.00564036,0.00188012
8,97.8613,1.59248,2.19489,0.01063,0.47535,0.52746,0.49458,0.22662,1.66821,1.86182,0.02243,0.00558042,0.00186014,0.00558042,0.00186014,0.00558042,0.00186014,0.00558042,0.00186014
9,106.164,1.55695,2.05784,0.01028,0.51802,0.5742,0.53935,0.24291,1.64443,1.81813,0.02146,0.00552048,0.00184016,0.00552048,0.00184016,0.00552048,0.00184016,0.00552048,0.00184016
10,114.086,1.55105,1.93714,0.01008,0.54497,0.57862,0.55931,0.2536,1.66545,1.733,0.02114,0.00546054,0.00182018,0.00546054,0.00182018,0.00546054,0.00182018,0.00546054,0.00182018
11,121.931,1.55472,1.86001,0.00982,0.58257,0.58481,0.58545,0.26378,1.6741,1.68226,0.02216,0.0054006,0.0018002,0.0054006,0.0018002,0.0054006,0.0018002,0.0054006,0.0018002
12,129.64,1.56998,1.79054,0.00985,0.63232,0.59402,0.6446,0.29764,1.66797,1.58458,0.02073,0.00534066,0.00178022,0.00534066,0.00178022,0.00534066,0.00178022,0.00534066,0.00178022
13,137.503,1.5804,1.70369,0.01,0.66347,0.62809,0.66941,0.29687,1.7462,1.53601,0.02478,0.00528072,0.00176024,0.00528072,0.00176024,0.00528072,0.00176024,0.00528072,0.00176024
14,145.389,1.56807,1.62131,0.00979,0.65848,0.64212,0.67249,0.28322,1.84497,1.5172,0.02094,0.00522078,0.00174026,0.00522078,0.00174026,0.00522078,0.00174026,0.00522078,0.00174026
15,154.101,1.55123,1.59113,0.00955,0.6333,0.59541,0.62172,0.2763,1.71229,1.60058,0.02072,0.00516084,0.00172028,0.00516084,0.00172028,0.00516084,0.00172028,0.00516084,0.00172028
16,161.969,1.51817,1.52943,0.00918,0.64386,0.62279,0.63847,0.2904,1.68553,1.52698,0.02097,0.0051009,0.0017003,0.0051009,0.0017003,0.0051009,0.0017003,0.0051009,0.0017003
