epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.404,3.59687,6.8597,0.03399,0,0,0,0,3.18537,4.26782,0.05642,0.000491667,0.000163889,0.000491667,0.000163889,0.000491667,0.000163889,0.000491667,0.000163889
2,58.0655,2.93121,6.17621,0.0245,0.00442,0.13875,0.00544,0.00175,2.52405,4.15548,0.03696,0.000981849,0.000327283,0.000981849,0.000327283,0.000981849,0.000327283,0.000981849,0.000327283
3,68.8655,2.42922,5.69969,0.01883,0.00527,0.24106,0.013,0.00387,2.27472,3.95088,0.03151,0.00146213,0.000487377,0.00146213,0.000487377,0.00146213,0.000487377,0.00146213,0.000487377
4,79.5741,2.15102,5.2987,0.01542,0.00587,0.29676,0.02036,0.00793,2.07033,3.58317,0.02774,0.00145545,0.00048515,0.00145545,0.00048515,0.00145545,0.00048515,0.00145545,0.00048515
5,90.9287,2.01586,4.80471,0.01394,0.9207,0.02685,0.03267,0.01613,2.0745,3.57434,0.02849,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802
6,102.16,1.95026,4.54615,0.01407,0.92916,0.02532,0.05588,0.03086,1.93964,3.38412,0.02567,0.00142575,0.00047525,0.00142575,0.00047525,0.00142575,0.00047525,0.00142575,0.00047525
7,113.346,1.93211,4.32415,0.01352,0.87299,0.06156,0.06432,0.03626,1.86921,3.27158,0.02428,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703
8,124.347,1.85577,4.1334,0.01302,0.86852,0.06864,0.06916,0.03876,1.83173,3.19482,0.02419,0.00139605,0.00046535,0.00139605,0.00046535,0.00139605,0.00046535,0.00139605,0.00046535
9,135.655,1.79768,4.04803,0.01229,0.86475,0.07714,0.08964,0.05385,1.75669,3.10312,0.02252,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604
10,146.545,1.78265,3.9373,0.01207,0.88461,0.07897,0.10399,0.06359,1.72452,3.00195,0.02141,0.00136635,0.00045545,0.00136635,0.00045545,0.00136635,0.00045545,0.00136635,0.00045545
11,157.475,1.77987,3.8246,0.01213,0.88572,0.0831,0.12377,0.07361,1.70191,2.88957,0.02084,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505
12,168.16,1.71184,3.78744,0.01112,0.7773,0.12772,0.13755,0.08072,1.67708,2.7903,0.02021,0.00133665,0.00044555,0.00133665,0.00044555,0.00133665,0.00044555,0.00133665,0.00044555
13,179.184,1.72348,3.686,0.01152,0.72329,0.1338,0.15159,0.0849,1.66635,2.70293,0.02,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406
14,189.705,1.75253,3.60421,0.01126,0.77065,0.14271,0.15452,0.08548,1.67676,2.67015,0.01986,0.00130695,0.00043565,0.00130695,0.00043565,0.00130695,0.00043565,0.00130695,0.00043565
15,200.919,1.68652,3.54653,0.0109,0.67052,0.15296,0.16566,0.09181,1.63523,2.59217,0.01951,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307
16,211.903,1.68991,3.58114,0.01123,0.6349,0.16763,0.17057,0.09354,1.6592,2.54997,0.01912,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575
17,222.62,1.68826,3.49644,0.01101,0.63717,0.18374,0.17247,0.09756,1.67371,2.51794,0.0191,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208
18,234.188,1.67931,3.35715,0.01017,0.63891,0.18198,0.18407,0.10914,1.62112,2.48096,0.01858,0.00124755,0.00041585,0.00124755,0.00041585,0.00124755,0.00041585,0.00124755,0.00041585
19,245.306,1.66555,3.40049,0.01019,0.65472,0.18514,0.19378,0.11116,1.61437,2.48935,0.01835,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109
20,256.11,1.65084,3.36333,0.01034,0.66168,0.18186,0.20319,0.11731,1.63132,2.47002,0.01825,0.00121785,0.00040595,0.00121785,0.00040595,0.00121785,0.00040595,0.00121785,0.00040595
21,267.215,1.64114,3.30036,0.0102,0.66977,0.17627,0.20612,0.11787,1.61014,2.49054,0.01845,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
22,277.674,1.619,3.29209,0.01035,0.69232,0.1914,0.22229,0.12301,1.61762,2.46285,0.01866,0.00118815,0.00039605,0.00118815,0.00039605,0.00118815,0.00039605,0.00118815,0.00039605
23,288.072,1.64389,3.2288,0.01046,0.71939,0.19587,0.23611,0.13163,1.62871,2.44185,0.01856,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911
24,298.451,1.65572,3.24148,0.01005,0.72491,0.19698,0.24158,0.13364,1.61984,2.44771,0.01833,0.00115845,0.00038615,0.00115845,0.00038615,0.00115845,0.00038615,0.00115845,0.00038615
25,308.748,1.61811,3.16356,0.00994,0.70883,0.20653,0.25549,0.14066,1.65464,2.3931,0.01825,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812
26,319.072,1.60918,3.18485,0.00991,0.71082,0.20536,0.25778,0.14427,1.6406,2.40506,0.01814,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625
27,330.07,1.61002,3.11333,0.0099,0.71084,0.19805,0.26297,0.14675,1.6434,2.39149,0.01822,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713
28,340.342,1.61346,3.1604,0.00967,0.71857,0.21868,0.26933,0.14777,1.65731,2.38071,0.01913,0.00109905,0.00036635,0.00109905,0.00036635,0.00109905,0.00036635,0.00109905,0.00036635
29,350.498,1.60418,3.04909,0.01001,0.69301,0.22295,0.27246,0.15365,1.6256,2.36771,0.0182,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614
30,361.072,1.60509,2.99326,0.00952,0.67951,0.23797,0.27527,0.15559,1.62457,2.34354,0.01808,0.00106935,0.00035645,0.00106935,0.00035645,0.00106935,0.00035645,0.00106935,0.00035645
31,371.595,1.61767,3.01233,0.00945,0.6655,0.24306,0.26892,0.15436,1.65137,2.34047,0.01835,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515
32,381.888,1.63127,2.98715,0.00976,0.64154,0.23932,0.27433,0.15824,1.62367,2.34821,0.01736,0.00103965,0.00034655,0.00103965,0.00034655,0.00103965,0.00034655,0.00103965,0.00034655
33,392.109,1.61046,2.94343,0.00989,0.68184,0.24097,0.28142,0.16186,1.64534,2.30006,0.01763,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416
34,402.294,1.60566,2.93886,0.00953,0.64099,0.25134,0.28267,0.16502,1.64714,2.30346,0.01775,0.00100995,0.00033665,0.00100995,0.00033665,0.00100995,0.00033665,0.00100995,0.00033665
35,412.774,1.60313,2.93691,0.00984,0.65331,0.24236,0.28358,0.16614,1.65141,2.2942,0.01766,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317
36,423.012,1.5931,2.92713,0.00973,0.64142,0.25789,0.28882,0.16962,1.64244,2.28685,0.0176,0.00098025,0.00032675,0.00098025,0.00032675,0.00098025,0.00032675,0.00098025,0.00032675
37,433.728,1.607,2.83037,0.00966,0.58778,0.29148,0.2983,0.17272,1.64633,2.29041,0.01801,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218
38,444.245,1.60017,2.87025,0.00971,0.60833,0.23985,0.30732,0.17545,1.63757,2.28802,0.01762,0.00095055,0.00031685,0.00095055,0.00031685,0.00095055,0.00031685,0.00095055,0.00031685
39,455.116,1.60454,2.83006,0.00925,0.46223,0.29975,0.30617,0.17812,1.63598,2.27429,0.01755,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119
40,465.507,1.59153,2.83062,0.00931,0.47745,0.29862,0.30209,0.17272,1.64249,2.2606,0.01799,0.00092085,0.00030695,0.00092085,0.00030695,0.00092085,0.00030695,0.00092085,0.00030695
41,476.059,1.60258,2.7571,0.00948,0.48818,0.30824,0.30946,0.17766,1.65631,2.24264,0.01792,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302
42,486.448,1.57986,2.76631,0.00914,0.49431,0.30585,0.31518,0.18309,1.64642,2.2244,0.01773,0.00089115,0.00029705,0.00089115,0.00029705,0.00089115,0.00029705,0.00089115,0.00029705
43,497.111,1.58593,2.74337,0.00933,0.50463,0.30898,0.31658,0.18233,1.65388,2.22043,0.0175,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921
44,507.541,1.58285,2.71333,0.00944,0.50925,0.28794,0.31245,0.18384,1.64546,2.21261,0.01743,0.00086145,0.00028715,0.00086145,0.00028715,0.00086145,0.00028715,0.00086145,0.00028715
45,518.181,1.58858,2.70462,0.00942,0.42748,0.28947,0.31613,0.18475,1.6344,2.21244,0.01729,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822
46,528.722,1.59333,2.71989,0.00964,0.42457,0.31674,0.32343,0.18704,1.63217,2.20494,0.01739,0.00083175,0.00027725,0.00083175,0.00027725,0.00083175,0.00027725,0.00083175,0.00027725
