epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.1736,3.33584,13.3302,0.03087,0.00108,0.04498,0.00069,0.00017,3.61658,3.89682,0.07218,0.000495726,0.000165242,0.000495726,0.000165242,0.000495726,0.000165242,0.000495726,0.000165242
2,67.4992,2.66563,11.2531,0.02201,0.00361,0.13712,0.00809,0.00308,2.41212,3.60959,0.04062,0.000985869,0.000328623,0.000985869,0.000328623,0.000985869,0.000328623,0.000985869,0.000328623
3,87.8308,2.23963,10.0203,0.01727,0.00312,0.15264,0.0097,0.00388,2.20369,3.32581,0.03642,0.00146611,0.000488704,0.00146611,0.000488704,0.00146611,0.000488704,0.00146611,0.000488704
4,108.15,2.03004,9.41505,0.01522,0.94993,0.01307,0.01252,0.00505,1.95905,3.10436,0.03238,0.00145545,0.00048515,0.00145545,0.00048515,0.00145545,0.00048515,0.00145545,0.00048515
5,128.137,1.94907,8.66969,0.01435,0.94869,0.01619,0.01626,0.00644,1.93403,3.10641,0.03088,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802
6,148.595,1.86209,8.59805,0.01314,0.94801,0.02901,0.04258,0.01963,1.85053,2.90879,0.02997,0.00142575,0.00047525,0.00142575,0.00047525,0.00142575,0.00047525,0.00142575,0.00047525
7,168.476,1.78103,7.94436,0.01273,0.948,0.0389,0.05609,0.02743,1.77582,2.84765,0.02717,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703
8,188.325,1.79114,7.96123,0.01264,0.92673,0.05524,0.05888,0.02999,1.6845,2.7658,0.02669,0.00139605,0.00046535,0.00139605,0.00046535,0.00139605,0.00046535,0.00139605,0.00046535
9,208.881,1.71699,7.52015,0.01177,0.93076,0.05462,0.064,0.03241,1.6798,2.7266,0.02588,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604
10,228.674,1.71374,7.33204,0.01182,0.92839,0.06552,0.07193,0.03546,1.61399,2.6727,0.02498,0.00136635,0.00045545,0.00136635,0.00045545,0.00136635,0.00045545,0.00136635,0.00045545
11,248.467,1.68126,6.98568,0.01123,0.93233,0.06948,0.07403,0.03538,1.62767,2.68822,0.02429,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505
12,268.31,1.65326,6.88931,0.01093,0.92675,0.0697,0.07394,0.03954,1.61603,2.64832,0.02418,0.00133665,0.00044555,0.00133665,0.00044555,0.00133665,0.00044555,0.00133665,0.00044555
13,287.681,1.62928,6.57297,0.01056,0.93169,0.06455,0.06699,0.03682,1.55331,2.65828,0.02307,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406
14,307.212,1.61847,6.49385,0.01043,0.79841,0.07298,0.07295,0.03778,1.5525,2.59278,0.02265,0.00130695,0.00043565,0.00130695,0.00043565,0.00130695,0.00043565,0.00130695,0.00043565
15,326.909,1.62927,6.14253,0.01013,0.86534,0.07446,0.07742,0.03958,1.53112,2.63439,0.02239,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307
16,347.245,1.60452,6.2074,0.01031,0.80287,0.07454,0.0812,0.0439,1.49864,2.58658,0.02198,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575
17,367.679,1.60025,5.95448,0.01018,0.74002,0.07423,0.08242,0.04352,1.52614,2.58694,0.02196,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208
18,387.957,1.56973,5.58108,0.01006,0.73921,0.07538,0.08682,0.04792,1.49779,2.56708,0.02174,0.00124755,0.00041585,0.00124755,0.00041585,0.00124755,0.00041585,0.00124755,0.00041585
19,408.258,1.57539,5.93227,0.01007,0.74247,0.078,0.08806,0.04634,1.51939,2.56963,0.02182,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109
20,428.584,1.58261,5.55244,0.00983,0.74428,0.06794,0.0843,0.04647,1.50292,2.56226,0.02111,0.00121785,0.00040595,0.00121785,0.00040595,0.00121785,0.00040595,0.00121785,0.00040595
21,448.426,1.56725,5.38281,0.00999,0.63104,0.08472,0.08602,0.04615,1.48405,2.54968,0.0208,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
22,467.961,1.55032,5.41844,0.00983,0.46152,0.11456,0.09665,0.05358,1.49931,2.47699,0.02125,0.00118815,0.00039605,0.00118815,0.00039605,0.00118815,0.00039605,0.00118815,0.00039605
23,487.974,1.58312,5.14913,0.01026,0.43855,0.13237,0.09464,0.05149,1.47639,2.47569,0.0211,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911
24,508.487,1.54182,5.12266,0.00981,0.58731,0.09581,0.09735,0.05577,1.47899,2.45102,0.02098,0.00115845,0.00038615,0.00115845,0.00038615,0.00115845,0.00038615,0.00115845,0.00038615
