epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.7214,3.02544,3.60597,2.20912,0.0159,0.80919,0.07386,0.02594,2.3107,3.11094,1.62281,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,22.2307,2.11718,2.48849,1.55363,0.78226,0.2666,0.51834,0.18607,2.00972,2.46466,1.45489,0.00350464,0.00116821,0.00350464,0.00116821,0.00350464,0.00116821,0.00350464,0.00116821
3,30.3197,1.93291,1.8653,1.422,0.79975,0.41277,0.62167,0.24507,1.94998,2.11267,1.4136,0.00523331,0.00174444,0.00523331,0.00174444,0.00523331,0.00174444,0.00523331,0.00174444
4,35.972,1.82579,1.67541,1.3616,0.72775,0.6612,0.70828,0.2825,1.92381,1.66629,1.40619,0.00582018,0.00194006,0.00582018,0.00194006,0.00582018,0.00194006,0.00582018,0.00194006
5,41.2844,1.75032,1.55258,1.31788,0.61894,0.69435,0.65209,0.27284,1.87756,1.52839,1.36701,0.00576024,0.00192008,0.00576024,0.00192008,0.00576024,0.00192008,0.00576024,0.00192008
6,46.5772,1.69785,1.51372,1.27689,0.72411,0.70717,0.73339,0.32418,1.77578,1.43067,1.3087,0.0057003,0.0019001,0.0057003,0.0019001,0.0057003,0.0019001,0.0057003,0.0019001
7,51.7515,1.66319,1.45486,1.25768,0.68717,0.69965,0.7243,0.30936,1.8468,1.4203,1.29624,0.00564036,0.00188012,0.00564036,0.00188012,0.00564036,0.00188012,0.00564036,0.00188012
8,57.123,1.6415,1.41245,1.24911,0.71624,0.71201,0.74125,0.33864,1.7455,1.34813,1.28247,0.00558042,0.00186014,0.00558042,0.00186014,0.00558042,0.00186014,0.00558042,0.00186014
9,62.4209,1.59266,1.35901,1.22609,0.7218,0.7076,0.74759,0.33246,1.78918,1.35673,1.31119,0.00552048,0.00184016,0.00552048,0.00184016,0.00552048,0.00184016,0.00552048,0.00184016
10,69.1941,1.56298,1.32291,1.21277,0.73597,0.71996,0.76464,0.34403,1.76716,1.31786,1.26647,0.00546054,0.00182018,0.00546054,0.00182018,0.00546054,0.00182018,0.00546054,0.00182018
